Pattern_Name,Pattern_ID,Description,Keyword,Critical
Yellow,ABAP001,Creating custom tables in S/4HANA using Transaction Code SE11,"Custom, Tables, HANA",2
Yellow,ABAP003,Create and modify Odata APIs in S/4HANA using Transaction Code SEGW,"Odata, API, HANA, SEGW",2
Red,ABAP004,Extending non-whitelisted BAPIs using the traditional approach in S/4HANA,"Extending, BAPI, HANA",1
Red,ABAP005,Unreleased RFC is not allowed to be exposed,"Unreleased, RFC",1
Yellow,ABAP006,Creating custom CDS views using Eclipse,"Custom, CDS, Views",2
Yellow,ABAP007,Overriding metadata annotations of SAP delivered CDS views using Eclipse,"Overriding, Metadata, CDS, Views",2
Yellow,ABAP008,Creating custom ABAP DDIC objects in S/4HANA using Transaction Code SE11,"Custom, ABAP, DDIC, HANA, SE11",2
Red,ABAP009,Modifying an SAP delivered app using extension points,"Modifying, SAP, Extension, Points",1
Red,ABAP010,Creating a Fiori app and deploy to S4/HANA,"Fiori, Deploy, HANA",1
Yellow,ABAP011,Implement Classical BADI,"Implement, Classical, BADI",2
Red,ABAP012,User Exits CMOD and SMOD - For Digital Core this pattern is Red. Note: SAP classifies it as yellow.,"User, Exits, CMOD, SMOD",1
Red,ABAP013,Implicit / Explicit Enhancement spots,"Enhancement, Spots",1
Yellow,ABAP014,"Use Smartforms, Sapscript and Interactive Adobe forms both as out-of-the-box or with customizations in S/4HANA","Smartforms, Sapscript, Adobe, Forms, HANA",2
Yellow,ABAP015,Catch SAP delivered events using BTE,"Catch, SAP, Events, BTE",2
Yellow,ABAP016,Create Transaction Code for SAP provided programs,"Transaction, Code, SAP, Programs",2
Green,ABAP017,Use Substitutions to set replace values,"Substitutions, Replace, Values",3
Red,ABAP018,Use Substitutions to set replace values with exits,"Substitutions, Replace, Values, Exits",1
Red,ABAP019,Use SAP ERP Connectors,"ERP, Connectors",1
Red,ABAP020,"Copy or Clone SAP provided objects (programs, function modules, etc) using SE37, SE38 or SE80","Clone, Programs, Function modules",1
Yellow,ABAP021,Enhance SAP standard structures using predefined structures,"Enhance, Structures",2
Yellow,ABAP022,Use of IDOCs to send or receive data,"IDOC, Send, Receive, Data",2
Yellow,ABAP023,Trigger events using Netweaver Event Add-On for Event Enablement using only recommended function modules,"Trigger, Event, Function, Modules",2
Red,ABAP024,Trigger events using Netweaver Event Add-On for Event Enablement using customized z function modules,"Trigger, Event, Function, Modules",1
